id_estudante,nota_final,evasao,curso,ano_ingresso,frequencia
1,70.1,Nao,Engenharia,2019,92.5
2,68.7,Sim,Direito,2020,85.2
3,82.1,Nao,Administracao,2018,97.4
4,59.4,Nao,Medicina,2021,78.3
5,74.6,Sim,Engenharia,2022,88.1
6,66.2,Nao,Direito,2019,81.9
7,90.5,Nao,Administracao,2020,98.0
8,55.1,Sim,Medicina,2021,72.5
9,71.0,Nao,Engenharia,2018,86.7
10,80.3,Nao,Direito,2022,94.2
11,77.5,Nao,Administracao,2021,91.2
12,65.0,Sim,Medicina,2020,79.8
13,88.4,Nao,Engenharia,2019,96.1
14,58.2,Sim,Direito,2018,74.3
15,82.7,Nao,Administracao,2022,90.5
16,72.9,Nao,Engenharia,2020,85.9
17,69.8,Sim,Direito,2021,80.2
18,91.3,Nao,Medicina,2019,98.5
19,64.4,Nao,Administracao,2018,83.1
20,79.2,Nao,Engenharia,2022,89.7
21,68.1,Sim,Direito,2019,76.4
22,85.0,Nao,Administracao,2020,92.0
23,73.3,Nao,Medicina,2021,88.9
24,60.5,Sim,Engenharia,2018,72.6
25,78.9,Nao,Direito,2022,91.5
26,81.2,Nao,Administracao,2019,95.0
27,66.8,Sim,Medicina,2020,82.7
28,87.4,Nao,Engenharia,2021,97.2
29,59.9,Nao,Direito,2018,75.4
30,74.0,Nao,Administracao,2022,88.2
31,70.4,Nao,Medicina,2019,84.3
32,65.9,Sim,Engenharia,2020,79.5
33,90.1,Nao,Direito,2021,96.4
34,67.2,Nao,Administracao,2018,83.8
35,76.6,Nao,Medicina,2022,89.9
36,62.7,Sim,Engenharia,2019,77.2
37,84.5,Nao,Direito,2020,93.0
38,71.9,Nao,Administracao,2021,87.4
39,63.3,Sim,Medicina,2018,78.6
40,79.5,Nao,Engenharia,2022,90.1
51,69.5,Nao,Medicina,2019,84.1
52,74.8,Nao,Engenharia,2020,87.6
53,82.3,Nao,Direito,2021,92.4
54,61.9,Sim,Administracao,2018,76.2
55,78.4,Nao,Medicina,2022,90.8
56,67.6,Nao,Engenharia,2019,83.9
57,85.7,Nao,Direito,2020,95.1
58,72.4,Nao,Administracao,2021,88.6
59,63.9,Sim,Medicina,2018,79.0
60,80.0,Nao,Engenharia,2022,91.7
61,71.7,Nao,Direito,2019,86.3
62,77.9,Nao,Administracao,2020,90.2
63,64.5,Sim,Medicina,2021,80.5
64,88.8,Nao,Engenharia,2018,96.9
65,59.3,Nao,Direito,2022,73.7
66,81.5,Nao,Administracao,2019,94.1
67,68.2,Nao,Medicina,2020,83.4
68,75.1,Nao,Engenharia,2021,89.5
69,62.4,Sim,Direito,2018,78.1
70,84.0,Nao,Administracao,2022,93.2
71,70.6,Nao,Medicina,2019,85.9
72,66.9,Sim,Engenharia,2020,81.7
73,90.7,Nao,Direito,2021,97.4
74,69.3,Nao,Administracao,2018,82.6
75,76.8,Nao,Medicina,2022,90.9
76,61.1,Sim,Engenharia,2019,77.8
77,83.4,Nao,Direito,2020,92.7
78,72.0,Nao,Administracao,2021,86.9
79,65.5,Sim,Medicina,2018,79.6
80,79.7,Nao,Engenharia,2022,91.0
81,71.3,Nao,Direito,2019,85.6
82,81.0,Nao,Administracao,2020,93.3
83,67.4,Sim,Medicina,2021,82.2
84,89.1,Nao,Engenharia,2018,97.1
85,60.8,Nao,Direito,2022,75.5
86,83.9,Nao,Administracao,2019,94.4
87,68.6,Nao,Medicina,2020,84.0
88,74.2,Nao,Engenharia,2021,88.9
89,62.0,Sim,Direito,2018,77.4
90,85.3,Nao,Administracao,2022,95.3
91,70.2,Nao,Medicina,2019,86.1
92,65.8,Sim,Engenharia,2020,80.8
93,91.0,Nao,Direito,2021,98.0
94,69.1,Nao,Administracao,2018,83.0
95,77.3,Nao,Medicina,2022,90.4
96,60.3,Sim,Engenharia,2019,76.9
97,84.8,Nao,Direito,2020,93.7
98,72.7,Nao,Administracao,2021,87.9
99,64.1,Sim,Medicina,2018,79.3
100,78.6,Nao,Engenharia,2022,90.6
101,73.8,Nao,Direito,2019,88.4
102,81.6,Nao,Administracao,2020,92.8
103,66.5,Sim,Medicina,2021,80.1
104,87.9,Nao,Engenharia,2018,96.3
105,59.7,Nao,Direito,2022,74.1
106,82.2,Nao,Administracao,2019,94.6
107,68.9,Nao,Medicina,2020,84.5
108,75.7,Nao,Engenharia,2021,89.7
109,62.3,Sim,Direito,2018,78.8
110,84.6,Nao,Administracao,2022,93.5
111,71.4,Nao,Medicina,2019,86.5
112,67.1,Sim,Engenharia,2020,82.0
113,89.4,Nao,Direito,2021,97.2
114,69.4,Nao,Administracao,2018,83.5
115,78.3,Nao,Medicina,2022,90.8
116,61.7,Sim,Engenharia,2019,77.5
117,82.7,Nao,Direito,2020,94.0
118,72.6,Nao,Administracao,2021,87.2
119,64.7,Sim,Medicina,2018,79.9
120,79.4,Nao,Engenharia,2022,91.2
121,70.8,Nao,Direito,2019,85.8
122,80.8,Nao,Administracao,2020,93.6
123,67.7,Sim,Medicina,2021,82.7
124,88.2,Nao,Engenharia,2018,96.7
125,60.6,Nao,Direito,2022,75.0
126,83.5,Nao,Administracao,2019,94.9
127,68.3,Nao,Medicina,2020,83.8
128,74.9,Nao,Engenharia,2021,89.1
129,63.1,Sim,Direito,2018,78.3
130,85.5,Nao,Administracao,2022,95.6
131,70.5,Nao,Medicina,2019,86.8
132,65.4,Sim,Engenharia,2020,80.9
133,90.9,Nao,Direito,2021,98.2
134,69.2,Nao,Administracao,2018,83.3
135,77.1,Nao,Medicina,2022,90.6
136,60.9,Sim,Engenharia,2019,77.1
137,84.2,Nao,Direito,2020,93.8
138,71.1,Nao,Administracao,2021,87.6
139,65.2,Sim,Medicina,2018,79.5
140,80.1,Nao,Engenharia,2022,91.4
141,72.2,Nao,Direito,2019,86.0
142,81.1,Nao,Administracao,2020,93.1
143,67.9,Sim,Medicina,2021,82.4
144,89.6,Nao,Engenharia,2018,97.0
145,60.1,Nao,Direito,2022,74.6
146,83.8,Nao,Administracao,2019,94.3
147,69.6,Nao,Medicina,2020,84.2
148,75.0,Nao,Engenharia,2021,89.4
149,62.6,Sim,Direito,2018,78.5
150,79.9,Nao,Administracao,2022,91.6
